title,date,author_source,email_phone,address_city,services_specialties,url
Kết quả khảo sát hài lòng người bệnh,2026-02-25T15:16:45.194800,,,,,https://benhvienanbinh.vn/33452/
Kết quả khảo sát hài lòng người bệnh,2026-02-25T15:16:45.194800,,,,,https://benhvienanbinh.vn/33452/
"2 phút cùng Bác sĩ #94 – Cấp cứu dị vật đường thở ngày Tết: Heimlich cho người lớn, vỗ lưng ấn ngực cho trẻ nhỏ",2026-02-25T15:16:51.449194,,,,,https://benhvienanbinh.vn/2-phut-cung-bac-si-94-cap-cuu-di-vat-duong-tho-ngay-tet-heimlich-cho-nguoi-lon-vo-lung-an-nguc-cho-tre-nho/
"2 phút cùng Bác sĩ #94 – Cấp cứu dị vật đường thở ngày Tết: Heimlich cho người lớn, vỗ lưng ấn ngực cho trẻ nhỏ",2026-02-25T15:16:51.449194,,,,,https://benhvienanbinh.vn/2-phut-cung-bac-si-94-cap-cuu-di-vat-duong-tho-ngay-tet-heimlich-cho-nguoi-lon-vo-lung-an-nguc-cho-tre-nho/
2 phút cùng Bác sĩ #95 – Bổ sung vi chất cho mẹ bầu,2026-02-25T15:16:52.028145,,,,,https://benhvienanbinh.vn/2-phut-cung-bac-si-95-bo-sung-vi-chat-cho-me-bau/
2 phút cùng Bác sĩ #95 – Bổ sung vi chất cho mẹ bầu,2026-02-25T15:16:52.028145,,,,,https://benhvienanbinh.vn/2-phut-cung-bac-si-95-bo-sung-vi-chat-cho-me-bau/
Dịch vụ giao thuốc tận nhà tại Bệnh viện An Bình,2026-02-25T15:16:52.240352,,,,,https://benhvienanbinh.vn/dich-vu-giao-thuoc-tan-nha-tai-benh-vien-an-binh/
Dịch vụ giao thuốc tận nhà tại Bệnh viện An Bình,2026-02-25T15:16:52.240352,,,,,https://benhvienanbinh.vn/dich-vu-giao-thuoc-tan-nha-tai-benh-vien-an-binh/
2 phút cùng Bác sĩ #93 – Đón tết vui – kiểm soát tốt đường huyết,2026-02-25T15:16:53.326270,,,,,https://benhvienanbinh.vn/2-phut-cung-bac-si-93-don-tet-vui-kiem-soat-tot-duong-huyet/
2 phút cùng Bác sĩ #93 – Đón tết vui – kiểm soát tốt đường huyết,2026-02-25T15:16:53.326270,,,,,https://benhvienanbinh.vn/2-phut-cung-bac-si-93-don-tet-vui-kiem-soat-tot-duong-huyet/
Thông báo chào giá Quan trắc chất lượng môi trường định kỳ và lập báo cáo công tác bảo vệ môi trường năm 2026 tại Bệnh viện An Bình,2026-02-25T15:16:56.616443,,,,,https://benhvienanbinh.vn/thong-bao-chao-gia-quan-trac-chat-luong-moi-truong-dinh-ky-va-lap-bao-cao-cong-tac-bao-ve-moi-truong-nam-2026-tai-benh-vien-an-binh/
Thông báo chào giá Quan trắc chất lượng môi trường định kỳ và lập báo cáo công tác bảo vệ môi trường năm 2026 tại Bệnh viện An Bình,2026-02-25T15:16:56.620177,,,,,https://benhvienanbinh.vn/thong-bao-chao-gia-quan-trac-chat-luong-moi-truong-dinh-ky-va-lap-bao-cao-cong-tac-bao-ve-moi-truong-nam-2026-tai-benh-vien-an-binh/
"Danh sách người thực hành khám bệnh, chữa bệnh tháng 01 năm 2026",2026-02-25T15:16:56.900193,,,,,https://benhvienanbinh.vn/danh-sach-nguoi-thuc-hanh-kham-benh-chua-benh-thang-01-nam-2026/
"Danh sách người thực hành khám bệnh, chữa bệnh tháng 01 năm 2026",2026-02-25T15:16:56.901748,,,,,https://benhvienanbinh.vn/danh-sach-nguoi-thuc-hanh-kham-benh-chua-benh-thang-01-nam-2026/
"Bệnh viện An Bình khuyến cáo người dân nói không với thuốc lá, thuốc lá điện tử, thuốc lá nung nóng.",2026-02-25T15:16:57.400103,,,,,https://benhvienanbinh.vn/benh-vien-an-binh-khuyen-cao-nguoi-dan-noi-khong-voi-thuoc-la/
"Bệnh viện An Bình khuyến cáo người dân nói không với thuốc lá, thuốc lá điện tử, thuốc lá nung nóng.",2026-02-25T15:16:57.402667,,,,,https://benhvienanbinh.vn/benh-vien-an-binh-khuyen-cao-nguoi-dan-noi-khong-voi-thuoc-la/
2 phút cùng Bác sĩ #92 – Suy tim – nhận biết sớm để bảo vệ trái tim khỏe mạnh,2026-02-25T15:16:57.605117,,,,,https://benhvienanbinh.vn/2-phut-cung-bac-si-92-suy-tim-nhan-biet-som-de-bao-ve-trai-tim-khoe-manh/
2 phút cùng Bác sĩ #92 – Suy tim – nhận biết sớm để bảo vệ trái tim khỏe mạnh,2026-02-25T15:16:57.605117,,,,,https://benhvienanbinh.vn/2-phut-cung-bac-si-92-suy-tim-nhan-biet-som-de-bao-ve-trai-tim-khoe-manh/
Hưởng ứng “Ngày Thế giới phòng chống Ung thư 2026: Đừng để ai đơn độc”,2026-02-25T15:16:57.750372,,,,,https://benhvienanbinh.vn/huong-ung-ngay-the-gioi-phong-chong-ung-thu-2026-dung-de-ai-don-doc/
Hưởng ứng “Ngày Thế giới phòng chống Ung thư 2026: Đừng để ai đơn độc”,2026-02-25T15:16:57.750372,,,,,https://benhvienanbinh.vn/huong-ung-ngay-the-gioi-phong-chong-ung-thu-2026-dung-de-ai-don-doc/
2 phút cùng Bác sĩ #83 – Chạy thận nhân tạo có đáng sợ như lời đồn?,2026-02-25T15:17:01.752850,,,,,https://benhvienanbinh.vn/2-phut-cung-bac-si-83-chay-than-nhan-tao-co-dang-so-nhu-loi-don/
2 phút cùng Bác sĩ #83 – Chạy thận nhân tạo có đáng sợ như lời đồn?,2026-02-25T15:17:01.752850,,,,,https://benhvienanbinh.vn/2-phut-cung-bac-si-83-chay-than-nhan-tao-co-dang-so-nhu-loi-don/
2 phút cùng Bác sĩ #82 – Mỗi ngày nên ăn bao nhiêu đạm để cơ thể khỏe mạnh?,2026-02-25T15:17:03.825174,,,,,https://benhvienanbinh.vn/2-phut-cung-bac-si-82-moi-ngay-nen-an-bao-nhieu-dam-de-co-the-khoe-manh/
2 phút cùng Bác sĩ #82 – Mỗi ngày nên ăn bao nhiêu đạm để cơ thể khỏe mạnh?,2026-02-25T15:17:03.825174,,,,,https://benhvienanbinh.vn/2-phut-cung-bac-si-82-moi-ngay-nen-an-bao-nhieu-dam-de-co-the-khoe-manh/
2 phút cùng Bác sĩ #80 – Dấu hiệu nhận biết đột quỵ,2026-02-25T15:17:03.859867,,,,,https://benhvienanbinh.vn/2-phut-cung-bac-si-80-dau-hieu-nhan-biet-dot-quy/
2 phút cùng Bác sĩ #80 – Dấu hiệu nhận biết đột quỵ,2026-02-25T15:17:03.861471,,,,,https://benhvienanbinh.vn/2-phut-cung-bac-si-80-dau-hieu-nhan-biet-dot-quy/
2 phút cùng Bác sĩ #81 – Đo thị trường mắt,2026-02-25T15:17:04.465024,,,,,https://benhvienanbinh.vn/2-phut-cung-bac-si-81-do-thi-truong-mat/
2 phút cùng Bác sĩ #81 – Đo thị trường mắt,2026-02-25T15:17:04.465024,,,,,https://benhvienanbinh.vn/2-phut-cung-bac-si-81-do-thi-truong-mat/
"Tuần lễ nâng cao nhận thức về kháng thuốc thế giới năm 2025 “Hành động ngay – Bảo vệ hiện tại, đảm bảo tương lai”",2026-02-25T15:17:04.668432,,,,,https://benhvienanbinh.vn/tuan-le-nang-cao-nhan-thuc-ve-khang-thuoc-the-gioi-nam-2025-hanh-dong-ngay-bao-ve-hien-tai-dam-bao-tuong-lai/
"Tuần lễ nâng cao nhận thức về kháng thuốc thế giới năm 2025 “Hành động ngay – Bảo vệ hiện tại, đảm bảo tương lai”",2026-02-25T15:17:04.668432,,,,,https://benhvienanbinh.vn/tuan-le-nang-cao-nhan-thuc-ve-khang-thuoc-the-gioi-nam-2025-hanh-dong-ngay-bao-ve-hien-tai-dam-bao-tuong-lai/
2 phút cùng Bác sĩ #79 – Những loại vaccine cần thiết cho người trưởng thành,2026-02-25T15:17:05.060894,,,,,https://benhvienanbinh.vn/2-phut-cung-bac-si-79-nhung-loai-vaccine-can-thiet-cho-nguoi-truong-thanh/
2 phút cùng Bác sĩ #79 – Những loại vaccine cần thiết cho người trưởng thành,2026-02-25T15:17:05.060894,,,,,https://benhvienanbinh.vn/2-phut-cung-bac-si-79-nhung-loai-vaccine-can-thiet-cho-nguoi-truong-thanh/
2 phút cùng Bác sĩ #91 – Siêu âm gan mật – bước quan trọng giúp phát hiện sớm bệnh lý gan mật,2026-02-25T15:17:09.212217,,,,,https://benhvienanbinh.vn/2-phut-cung-bac-si-91-sieu-am-gan-mat-buoc-quan-trong-giup-phat-hien-som-benh-ly-gan-mat/
2 phút cùng Bác sĩ #91 – Siêu âm gan mật – bước quan trọng giúp phát hiện sớm bệnh lý gan mật,2026-02-25T15:17:09.213217,,,,,https://benhvienanbinh.vn/2-phut-cung-bac-si-91-sieu-am-gan-mat-buoc-quan-trong-giup-phat-hien-som-benh-ly-gan-mat/
Hưởng ứng ngày đột quỵ thế giới 29/10/2025,2026-02-25T15:17:09.690575,,,,,https://benhvienanbinh.vn/huong-ung-ngay-dot-quy-the-gioi-29-10-2025/
Hưởng ứng ngày đột quỵ thế giới 29/10/2025,2026-02-25T15:17:09.690575,,,,,https://benhvienanbinh.vn/huong-ung-ngay-dot-quy-the-gioi-29-10-2025/
